Angule Distance	Quality
198.9514 878.0 188
199.2480 876.0 188
199.5447 874.0 188
199.8413 874.0 188
200.1379 874.0 188
200.4346 872.0 188
200.7147 872.0 188
201.0114 870.0 188
201.3080 872.0 188
201.6046 870.0 188
201.9012 870.0 188
202.1979 868.0 188
202.5000 868.0 188
202.7966 868.0 188
203.0933 866.0 188
203.3899 866.0 188
203.6865 864.0 188
203.9832 864.0 188
204.2798 866.0 188
204.8071 880.0 188
206.4331 2756.0 188
207.3230 2744.0 188
207.7789 2088.0 188
208.0756 2088.0 188
208.3722 2080.0 188
208.6853 2076.0 188
208.9819 2068.0 188
209.2786 2056.0 188
209.6246 2044.0 188
209.9213 2026.0 188
210.2179 2010.0 188
210.8716 1784.0 188
211.1682 1782.0 188
212.0581 1814.0 188
212.3273 3460.0 188
212.6239 3436.0 188
212.9205 3416.0 188
213.2172 3412.0 188
213.5138 3412.0 188
213.8104 3420.0 188
214.1071 3456.0 188
214.4037 3504.0 188
214.6399 3536.0 188
214.9365 3560.0 188
215.2332 3572.0 188
216.3098 5856.0 188
216.6064 5856.0 188
216.9031 5872.0 188
217.1997 5896.0 188
217.7930 5952.0 188
217.9797 9032.0 188
218.2764 8848.0 188
218.5730 8648.0 188
218.8696 8448.0 188
219.6991 3964.0 188
220.5890 3972.0 188
223.1378 588.0 188
223.4949 576.0 188
223.8574 570.0 188
224.1541 570.0 188
224.4507 570.0 188
224.7473 570.0 188
225.0439 570.0 188
225.2802 572.0 188
225.5768 576.0 188
225.8734 580.0 188
226.1700 580.0 188
226.4667 582.0 188
226.7633 584.0 188
227.0105 588.0 188
227.3071 594.0 188
227.5433 600.0 188
227.8400 608.0 188
228.6859 620.0 188
228.9990 708.0 188
229.3396 698.0 188
229.6527 694.0 188
229.9493 690.0 188
230.2460 686.0 188
230.5426 684.0 188
230.8887 682.0 188
231.1853 676.0 188
231.4819 668.0 188
231.8390 658.0 188
232.2015 646.0 188
232.4982 638.0 188
232.7948 632.0 188
233.1354 628.0 188
233.4375 624.0 188
233.7341 622.0 188
234.0308 622.0 188
234.3274 620.0 188
234.6240 618.0 188
234.9207 616.0 188
235.2777 612.0 188
235.5743 608.0 188
235.8710 606.0 188
236.1676 602.0 188
236.5302 598.0 188
236.8268 592.0 188
237.1234 588.0 188
237.4640 584.0 188
237.7606 584.0 188
238.0573 584.0 188
238.6560 584.0 188
239.7491 438.0 188
240.0458 438.0 188
240.3424 438.0 188
240.6390 438.0 188
240.9357 438.0 188
241.2323 438.0 188
241.5289 438.0 188
241.8256 438.0 188
242.1222 439.0 188
242.4188 439.0 188
242.7155 439.0 188
243.0121 439.0 188
243.2483 440.0 188
243.5449 440.0 188
243.8416 440.0 188
244.1382 441.0 188
244.4348 441.0 188
244.7314 442.0 188
245.0281 442.0 188
245.3247 443.0 188
245.6213 443.0 188
245.9180 444.0 188
246.2146 445.0 188
246.5112 445.0 188
246.8079 446.0 188
247.1045 446.0 188
247.4011 447.0 188
247.6538 448.0 188
247.9504 448.0 188
248.2471 449.0 188
248.5437 450.0 188
248.8403 451.0 188
249.1370 452.0 188
250.9167 452.0 188
251.8121 453.0 188
254.6686 464.0 188
254.9213 474.0 188
255.1520 483.0 188
255.4486 488.0 188
255.7013 492.0 188
255.9979 495.0 188
256.2946 498.0 188
256.5308 502.0 188
256.8274 506.0 188
257.1240 511.0 188
257.6678 516.0 188
258.5138 598.0 188
258.7610 600.0 188
259.1071 598.0 188
259.4037 596.0 188
259.7003 596.0 188
259.9969 596.0 188
260.2936 596.0 188
260.5902 598.0 188
260.8868 598.0 188
261.1835 596.0 188
261.4801 596.0 188
261.7767 594.0 188
262.0734 594.0 188
262.3700 592.0 188
262.6666 590.0 188
262.9688 590.0 188
263.2654 590.0 188
263.5620 590.0 188
263.8586 588.0 188
264.1553 586.0 188
264.4519 586.0 188
264.7485 586.0 188
265.0452 586.0 188
265.3857 584.0 188
265.6824 584.0 188
265.9790 582.0 188
266.2811 582.0 188
266.5778 582.0 188
266.8744 580.0 188
267.1710 580.0 188
267.4677 580.0 188
267.7643 582.0 188
268.0609 582.0 188
268.3575 582.0 188
268.6542 582.0 188
268.9508 584.0 188
269.2474 584.0 188
269.4836 586.0 188
269.7803 586.0 188
270.0769 588.0 188
270.3735 590.0 188
270.6702 594.0 188
270.9668 598.0 188
271.4996 606.0 188
272.6532 1876.0 188
272.9498 1874.0 188
273.2465 1876.0 188
273.5431 1880.0 188
273.8397 1884.0 188
274.1364 1886.0 188
274.4330 1886.0 188
274.7296 1890.0 188
274.9658 1892.0 188
275.2625 1892.0 188
275.5591 1892.0 188
275.9052 1890.0 188
276.2018 1890.0 188
276.4984 1890.0 188
276.7950 1888.0 188
277.0917 1886.0 188
277.3883 1886.0 188
277.6849 1884.0 188
277.9816 1882.0 188
278.2782 1880.0 188
278.5748 1874.0 188
278.8715 1870.0 188
279.1681 1868.0 188
279.4647 1864.0 188
279.7614 1860.0 188
280.0580 1854.0 188
280.3436 1852.0 188
280.6403 1846.0 188
280.9369 1836.0 188
281.2335 1828.0 188
281.5302 1820.0 188
281.8268 1810.0 188
282.1234 1804.0 188
282.4200 1794.0 188
283.3868 2724.0 188
283.6835 2716.0 188
283.9636 2716.0 188
284.2603 2716.0 188
284.5624 2712.0 188
284.8590 2708.0 188
285.1556 2708.0 188
285.4523 2704.0 188
285.7489 2704.0 188
286.0455 2708.0 188
286.3422 2704.0 188
286.6388 2700.0 188
286.9354 2700.0 188
287.2321 2700.0 188
287.5287 2700.0 188
287.8253 2700.0 188
288.1219 2700.0 188
288.4186 2700.0 188
288.7152 2700.0 188
289.0118 2696.0 188
289.3085 2692.0 188
290.1984 2700.0 188
293.5931 411.0 188
293.9502 406.0 188
294.2963 401.0 188
294.5929 397.0 188
294.9500 391.0 188
295.3125 390.0 188
295.5432 394.0 188
295.8398 396.0 188
296.1365 395.0 188
296.4331 394.0 188
296.7297 392.0 188
297.6855 390.0 188
301.2781 271.0 188
301.6406 270.0 188
301.9373 269.0 188
302.2339 268.0 188
302.5745 267.0 188
302.8711 266.0 188
303.1677 265.0 188
303.5303 263.0 188
303.8269 262.0 188
304.1235 262.0 188
304.4806 261.0 188
304.7772 261.0 188
305.0739 261.0 188
305.3705 261.0 188
305.6671 261.0 188
306.5625 261.0 188
309.8254 187.0 188
310.2924 183.0 188
310.7153 180.0 188
311.1713 176.0 188
311.5887 174.0 188
311.9952 171.0 188
312.4017 169.0 188
312.8082 167.0 188
313.2312 165.0 188
313.5773 163.0 188
313.9948 161.0 188
314.3408 160.0 188
314.8077 157.0 188
315.2802 154.0 188
315.7471 151.0 188
316.2140 149.0 188
316.5106 149.0 188
316.8732 148.0 188
317.2797 146.0 188
317.6367 145.0 188
317.9828 144.0 188
318.3398 143.0 188
318.7463 142.0 188
319.1089 141.0 188
319.4659 140.0 188
319.8120 139.0 188
320.1086 139.0 188
320.5261 138.0 188
320.8722 137.0 188
321.1688 137.0 188
321.4655 137.0 188
321.8280 136.0 188
322.1246 136.0 188
322.5311 135.0 188
322.8278 135.0 188
323.1244 135.0 188
323.4814 134.0 188
323.7781 134.0 188
324.0747 134.0 188
324.4373 133.0 188
324.7339 133.0 188
325.1404 132.0 188
325.4370 132.0 188
325.7336 132.0 188
326.0907 131.0 188
326.3873 131.0 188
326.6840 131.0 188
326.9806 131.0 188
327.3871 130.0 188
327.6837 130.0 188
327.9803 130.0 188
328.2770 130.0 188
328.5736 130.0 188
328.8702 130.0 188
329.1669 130.0 188
329.5294 129.0 188
329.8260 129.0 188
330.1227 129.0 188
330.4193 129.0 188
330.7159 129.0 188
331.1389 128.0 188
331.4355 128.0 188
331.7322 128.0 188
332.0728 127.0 188
332.3749 127.0 188
332.6715 127.0 188
332.9791 127.0 188
333.2813 127.0 188
333.5779 127.0 188
333.9844 126.0 188
334.2810 126.0 188
334.5776 126.0 188
334.8743 126.0 188
335.1709 126.0 188
335.4675 126.0 188
335.8246 125.0 188
336.1212 125.0 188
336.4178 125.0 188
336.7145 125.0 188
337.0111 125.0 188
337.3077 125.0 188
337.7142 124.0 188
338.0109 124.0 188
338.3075 124.0 188
338.6041 124.0 188
338.9667 123.0 188
339.2633 123.0 188
339.5599 123.0 188
339.8566 123.0 188
340.1532 123.0 188
340.4498 123.0 188
340.7465 123.0 188
341.1694 122.0 188
341.4661 122.0 188
341.7627 122.0 188
342.0593 122.0 188
342.3560 122.0 188
342.6526 122.0 188
342.9492 122.0 188
343.2458 122.0 188
343.5425 122.0 188
343.8391 122.0 188
344.1357 122.0 188
344.4324 122.0 188
344.7290 122.0 188
345.0311 122.0 188
345.4486 121.0 188
345.7452 121.0 188
346.0419 121.0 188
346.3385 121.0 188
346.6406 121.0 188
346.9373 121.0 188
347.2339 121.0 188
347.5305 121.0 188
347.8271 121.0 188
348.1238 121.0 188
348.4204 121.0 188
348.7170 121.0 188
349.0137 121.0 188
349.3103 121.0 188
349.6069 121.0 188
349.9036 121.0 188
350.2002 121.0 188
350.4968 121.0 188
350.7935 121.0 188
351.0901 121.0 188
351.3867 121.0 188
351.6998 121.0 188
351.9965 121.0 188
352.2931 121.0 188
352.4634 122.0 188
352.7655 122.0 188
352.9523 123.0 188
353.2489 123.0 188
353.5455 123.0 188
353.8422 123.0 188
354.4354 123.0 188
355.9515 150.0 188
356.2482 150.0 188
356.4844 151.0 188
356.7316 152.0 188
357.6215 152.0 188
358.3411 160.0 188
358.5938 161.0 188
358.8245 162.0 188
359.0607 163.0 188
359.3573 163.0 188
359.5935 165.0 188
359.8407 166.0 188
